"Title","Year","Cited by","Link"
"A Review of Privacy-Preserving Federated Learning, Deep Learning, and Machine Learning IIoT and IoTs Solutions","2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174676654&doi=10.1109%2fICSIP57908.2023.10270935&partnerID=40&md5=66a4c7473d77ad68a8b52f72010ab571"
"Detecting Cybersecurity Attacks in Industrial Internet of Things: A Systematic Literature Review","2023","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163766489&doi=10.1109%2fICNTE56631.2023.10146705&partnerID=40&md5=15cec14b245129818f3de1cd7967046a"
"A Survey of Security Issues in IIoT and Fault Identification using Predictive Analysis in Industry 4.0","2022","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144980332&doi=10.14445%2f22315381%2fIJETT-V70I12P211&partnerID=40&md5=fe7d85fda05967dabdaf9ce815be7424"
"Deep AI-Powered Cyber Threat Analysis in IIoT","2023","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144770999&doi=10.1109%2fJIOT.2022.3229722&partnerID=40&md5=8c8a75b2ac9fc5cd8707a51fc2bc7b1e"
"Machine Learning for Intelligent Data Analysis and Automation in Cybersecurity: Current and Future Prospects","2023","70","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138179699&doi=10.1007%2fs40745-022-00444-2&partnerID=40&md5=4366f78ba80276f1c4292a003f9427af"
"Cybersecurity for Blockchain-Based IoT Systems: A Review","2023","26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164965937&doi=10.3390%2fapp13137432&partnerID=40&md5=36ce00720ea6456ed539485c9d1946e9"
"State-of-the-Art Analysis of Blockchain-Based Industrial IoT (IIoT) for Smart Grids","2024","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198227709&doi=10.1109%2fICTEM60690.2024.10631931&partnerID=40&md5=5737074106d02daf9258f0e5e9d692e2"
"Credential Lifecycle Analysis in Private LoRaWAN Networks for Industrial IoT (IIoT)","2024","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193918100&doi=10.5220%2f0012615500003705&partnerID=40&md5=459f7d2790a3cd5a0ad0757c4fc62405"
"A Comprehensive Survey of Cybersecurity Threats, Attacks, and Effective Countermeasures in Industrial Internet of Things","2023","14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180645265&doi=10.3390%2ftechnologies11060161&partnerID=40&md5=d9c5e6d366242527d885865747d60fa2"
"An analysis of Intrusion detection systems in IIoT","2023","13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163194553&doi=10.1109%2fICONSTEM56934.2023.10142458&partnerID=40&md5=8f6c3b564e6437fa905948643e6e2bab"
"Industrial Internet of Things (IIoT) Identity Resolution Techniques: A Review","2024","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197676172&doi=10.1109%2fBigDataSecurity62737.2024.00036&partnerID=40&md5=00c660e39f33c9730ed1b2e1fac7a530"
"Textual sentiment analysis and description characteristics in crowdfunding success: The case of cybersecurity and IoT industries","2024","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198994073&doi=10.1007%2fs12525-024-00712-4&partnerID=40&md5=1754dbfe4034423a9a0afe9bf7e67c51"
"Review for Prevention of Botnet Attack Using Various Detection Techniques in IoT and IIoT","2024","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191266632&doi=10.1109%2fICDT61202.2024.10489168&partnerID=40&md5=8c8c77774267c7b83e103172f63deae1"
"A Review: Human Factor and Cybersecurity","2023","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171764715&doi=10.1109%2fICIT58056.2023.10225828&partnerID=40&md5=b71b2c63056e5d522f257fca831b08a7"
"A review of digital twins and their application in cybersecurity based on artificial intelligence","2024","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198020095&doi=10.1007%2fs10462-024-10805-3&partnerID=40&md5=5ea22cfcba1e05422bc92aa2855a6555"
"Evaluation and Analysis of a Digital Forensic Readiness Framework for the IIoT","2024","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194104525&doi=10.1109%2fISDFS60797.2024.10526471&partnerID=40&md5=0f4921bc3b1a77be9a8f9f57e02ecd41"
"Analysis and Prediction of Mobile Industrial Internet of Things (IIoT) Communications Based on FL-GLP-Net","2024","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188012916&doi=10.1109%2fJIOT.2024.3376547&partnerID=40&md5=f7c8625143c8caa48334795f0004ea89"
"Automotive Industry Applications Based on Industrial Internet of Things (IIoT). A Review","2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142712570&doi=10.1007%2f978-3-031-19647-8_27&partnerID=40&md5=2e99b89bac4ba0adc530d30790145dfc"
