id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
68	5g	0.2749	-0.0924	1	49	484	497	2021.8612	25.1268	1.4207
209	access control	0.916	0.2695	1	49	338	341	2020.8475	22.305	1.1353
254	accident prevention	-0.2754	-0.4036	3	49	317	324	2021.108	13.7963	0.8233
1020	anomaly detection	-0.9381	-0.018	2	49	315	321	2022.0841	18.4704	1.4606
1336	artificial intelligence	0.2092	-0.6306	3	49	484	495	2021.3495	24.5697	1.5611
1626	authentication	0.7415	0.7051	1	49	857	868	2021.3629	21.2661	1.2049
1809	automation	-0.1079	0.5933	4	49	686	699	2020.7039	25.6881	1.3168
2293	big data	0.4269	-0.6425	3	49	400	405	2020.2938	44.5926	1.7857
2495	blockchain	0.8128	-0.4327	1	49	1580	1632	2021.9277	31.1275	1.803
3699	cloud-computing	0.5343	-0.3505	1	49	539	549	2021.4536	27.8506	1.4932
4463	computer crime	-1.1372	0.1389	2	48	465	466	2021.5622	26.0901	1.5937
5623	cryptography	0.741	0.4494	1	49	932	938	2021.0853	20.5821	1.141
5821	cyber security	-0.6137	-0.2671	2	49	1292	1307	2022.0796	17.1171	1.1799
5853	cyber-attacks	-1.1051	-0.2085	2	48	396	398	2022.4146	11.5905	0.9989
5862	cyber-physical systems	-0.6736	-0.6734	3	49	427	430	2021.2047	26.3488	1.2584
6178	data privacy	0.8368	-0.046	1	49	638	642	2021.2757	34.972	1.7596
6503	decision making	0.2483	-0.4087	3	49	397	401	2021.8404	22.3017	1.4788
6576	deep learning	-0.7277	0.5229	2	49	713	724	2022.4475	23.634	1.8233
6725	denial-of-service attack	-0.5497	0.6735	2	49	309	311	2021.3891	30.8939	1.4195
7267	digital storage	0.6007	-0.1615	1	49	634	638	2021.4357	24.2884	1.3071
8137	edge computing	0.4504	0.0826	1	49	423	433	2022.067	22.4157	1.633
8686	embedded systems	-0.503	-0.5114	3	49	731	737	2020.5251	27.2293	1.1796
8923	energy efficiency	0.3571	0.6209	4	47	300	303	2021.2607	36.4158	1.707
9008	energy utilization	0.4598	0.7945	4	49	281	282	2021.3901	20.078	1.2478
11584	health care	0.9861	-0.2606	1	49	457	462	2021.6688	33.368	1.7886
12926	industrial control systems	-0.8482	-0.351	2	47	338	342	2020.5117	19.8538	0.7776
13007	industrial internet of things	-0.1577	0.1621	2	49	1582	1630	2021.8497	22.0141	1.3888
13131	industrial research	-0.0491	-0.2728	3	49	377	380	2020.8658	35.7842	1.6283
13135	industrial revolutions	0.0234	-0.8844	3	49	241	244	2021.0287	22.9795	1.4006
13199	industry 4.0	-0.1648	-0.844	3	49	684	694	2021.3718	27.719	1.4646
13379	information management	0.6443	-0.5839	1	49	521	527	2021.2543	18.0133	1.0624
13837	intelligent buildings	-0.1842	0.8161	4	49	326	327	2020.6544	26.6269	1.363
14205	internet of things	0.0563	0.0268	1	49	6599	6997	2021.2092	22.2088	1.214
14456	internet protocols	0.1088	0.9851	4	49	295	296	2020.6959	28.4561	1.2074
14545	intrusion detection	-1.0502	0.4091	2	49	765	768	2022.2799	21.2878	1.549
15265	learning algorithms	-0.7305	0.1004	2	49	314	314	2022.2994	20.3567	1.5915
15308	learning systems	-0.7717	0.2862	2	49	621	625	2022.2	24.1328	1.7966
16098	machine-learning	-0.5263	0.0142	2	49	841	858	2022.5629	15.4021	1.352
16258	malware	-0.5424	0.3373	2	49	262	266	2021.2669	29.5564	1.5244
18336	network architecture	0.1404	0.4138	4	49	541	543	2020.9079	35.1989	1.5763
18511	network security	-0.2699	0.3765	2	49	3240	3293	2021.3565	22.1011	1.213
21114	privacy	1.0893	0.0906	1	48	303	305	2022.4098	19.5377	1.7412
23251	risk assessment	-0.327	-0.6991	3	49	249	252	2021.123	15.3095	0.8355
24123	security	0.4385	0.3449	1	49	1481	1498	2021.4499	28.7457	1.648
24138	security and privacy	0.6988	0.1438	1	49	378	384	2020.6719	55.9245	2.0297
24311	security of data	-0.0232	-0.5536	3	49	426	439	2019.7973	27.5285	0.9655
24387	security systems	-0.1772	-0.078	3	49	443	450	2020.7533	20.1422	1.1256
25319	smart city	0.2169	0.171	4	49	270	277	2020.8736	29.1697	1.4203
26622	supply chains	0.3182	-0.8979	3	48	262	266	2021.3083	30.2331	1.4489
29913	wireless sensor networks	0.1234	0.7434	4	49	312	316	2020.2595	40.462	1.6153
